From root Wed Nov 20 11:44 GMT 1996
Received: from juliet.ic.ac.uk by icarus.ph.ic.ac.uk (5.x/4.0)
          id AA23089; Wed, 20 Nov 1996 11:44:56 GMT
Received: from ASTRPD [147.162.26.10] 
	by juliet.ic.ac.uk with smtp (Exim 0.57 #1)
	id 0vQB6U-0006bu-00; Wed, 20 Nov 1996 11:46:06 +0000
Date: Wed, 20 Nov 1996 10:24:58 +0200
Message-Id: <96112010245816@astrpd.pd.astro.it>
From: franceschini@astrpd.pd.astro.it
To: s.oliver@ic.ac.uk
Subject: Re: models
X-Vms-To: SMTP%"s.oliver@ic.ac.uk"
Content-Type: text
Content-Length: 9909
X-Mozilla-Status: 0011

Please find enclosed model counts at 15 micron. The model is discribed shortly
in the note I sent you 2 weeks ago. N.B.: in the old fig.3, I reported
predictions differentiated per source class: late-type systems are = Spirals
+ Starburst; early-types = E + S0; AGns as in column 6

Hope this is clear enough. I am sending you the other staff for the 6.7 micron
counts


Model counts at 15 micron:

   Differential counts: dN/dS/(600 S^-2.5 sr^-1) at lambda=15 micron (S in Jy)
   Log S (Jy)    Spirals       E              S0        Starburst    AGN           Total
   0.20000E+01  0.35886E-01  0.32415E-04  0.69337E-03  0.25279E-01  0.18043E-02  0.63695E-01
   0.18000E+01  0.36042E-01  0.32468E-04  0.75675E-03  0.27679E-01  0.18481E-02  0.66357E-01
   0.16000E+01  0.36347E-01  0.31772E-04  0.78866E-03  0.28266E-01  0.18404E-02  0.67274E-01
   0.14000E+01  0.35989E-01  0.34519E-04  0.75650E-03  0.26806E-01  0.18366E-02  0.65423E-01
   0.12000E+01  0.36290E-01  0.39726E-04  0.75522E-03  0.26435E-01  0.18607E-02  0.65380E-01
   0.10000E+01  0.35839E-01  0.36382E-04  0.73140E-03  0.25238E-01  0.18196E-02  0.63664E-01
   0.80000E+00  0.37937E-01  0.33735E-04  0.82007E-03  0.26665E-01  0.18614E-02  0.67317E-01
   0.60000E+00  0.38081E-01  0.33807E-04  0.77497E-03  0.29189E-01  0.18536E-02  0.69932E-01
   0.40000E+00  0.36650E-01  0.40725E-04  0.76737E-03  0.30028E-01  0.18504E-02  0.69337E-01
   0.20000E+00  0.37417E-01  0.38651E-04  0.76022E-03  0.28970E-01  0.18688E-02  0.69055E-01
   0.00000E+00  0.37119E-01  0.34473E-04  0.79973E-03  0.27334E-01  0.18286E-02  0.67116E-01
  -0.20000E+00  0.40903E-01  0.34288E-04  0.82138E-03  0.29883E-01  0.18740E-02  0.73515E-01
  -0.40000E+00  0.40184E-01  0.38688E-04  0.78906E-03  0.33445E-01  0.18713E-02  0.76328E-01
  -0.60000E+00  0.40808E-01  0.41417E-04  0.79756E-03  0.32428E-01  0.18735E-02  0.75949E-01
  -0.80000E+00  0.43016E-01  0.38001E-04  0.83265E-03  0.32030E-01  0.19042E-02  0.77821E-01
  -0.10000E+01  0.44606E-01  0.35516E-04  0.91409E-03  0.33723E-01  0.18758E-02  0.81154E-01
  -0.12000E+01  0.47010E-01  0.40433E-04  0.88046E-03  0.35000E-01  0.19303E-02  0.84861E-01
  -0.14000E+01  0.49200E-01  0.46689E-04  0.90357E-03  0.33418E-01  0.19436E-02  0.85512E-01
  -0.16000E+01  0.51867E-01  0.43465E-04  0.97305E-03  0.33026E-01  0.19770E-02  0.87887E-01
  -0.18000E+01  0.55222E-01  0.43859E-04  0.11227E-02  0.32561E-01  0.20169E-02  0.90967E-01
  -0.20000E+01  0.56217E-01  0.52018E-04  0.11408E-02  0.29315E-01  0.19954E-02  0.88720E-01
  -0.22000E+01  0.58063E-01  0.62622E-04  0.14772E-02  0.27971E-01  0.21169E-02  0.89691E-01
  -0.24000E+01  0.57827E-01  0.72326E-04  0.18711E-02  0.24163E-01  0.21709E-02  0.86104E-01
  -0.26000E+01  0.59606E-01  0.10743E-03  0.26740E-02  0.20808E-01  0.22157E-02  0.85412E-01
  -0.28000E+01  0.53994E-01  0.13853E-03  0.38311E-02  0.18023E-01  0.22912E-02  0.78278E-01
  -0.30000E+01  0.49187E-01  0.20575E-03  0.51871E-02  0.14513E-01  0.22864E-02  0.71379E-01
  -0.32000E+01  0.45676E-01  0.28706E-03  0.69972E-02  0.11998E-01  0.23742E-02  0.67332E-01
